id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1852165,ORANG,2011
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,925205,ORANG,2011
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,863044,ORANG,2011
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1248267,ORANG,2011
5,32,JAWA BARAT,3205,KABUPATEN GARUT,904607,ORANG,2011
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,677453,ORANG,2011
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,648480,ORANG,2011
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,425718,ORANG,2011
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,828506,ORANG,2011
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,489817,ORANG,2011
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,457222,ORANG,2011
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,702670,ORANG,2011
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,623501,ORANG,2011
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,340411,ORANG,2011
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,880087,ORANG,2011
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1074899,ORANG,2011
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,597633,ORANG,2011
18,32,JAWA BARAT,3271,KOTA BOGOR,391221,ORANG,2011
19,32,JAWA BARAT,3272,KOTA SUKABUMI,119803,ORANG,2011
20,32,JAWA BARAT,3273,KOTA BANDUNG,1012946,ORANG,2011
21,32,JAWA BARAT,3274,KOTA CIREBON,120967,ORANG,2011
22,32,JAWA BARAT,3275,KOTA BEKASI,990630,ORANG,2011
23,32,JAWA BARAT,3276,KOTA DEPOK,728675,ORANG,2011
24,32,JAWA BARAT,3277,KOTA CIMAHI,225801,ORANG,2011
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,253713,ORANG,2011
26,32,JAWA BARAT,3279,KOTA BANJAR,71340,ORANG,2011
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,1995032,ORANG,2012
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,958955,ORANG,2012
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,899502,ORANG,2012
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1323166,ORANG,2012
31,32,JAWA BARAT,3205,KABUPATEN GARUT,936552,ORANG,2012
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,811323,ORANG,2012
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,748629,ORANG,2012
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,453382,ORANG,2012
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,762065,ORANG,2012
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,557086,ORANG,2012
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,487639,ORANG,2012
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,732279,ORANG,2012
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,693303,ORANG,2012
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,375959,ORANG,2012
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,917556,ORANG,2012
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,1107002,ORANG,2012
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,583954,ORANG,2012
44,32,JAWA BARAT,3271,KOTA BOGOR,383111,ORANG,2012
45,32,JAWA BARAT,3272,KOTA SUKABUMI,109249,ORANG,2012
46,32,JAWA BARAT,3273,KOTA BANDUNG,1064167,ORANG,2012
47,32,JAWA BARAT,3274,KOTA CIREBON,116605,ORANG,2012
48,32,JAWA BARAT,3275,KOTA BEKASI,977043,ORANG,2012
49,32,JAWA BARAT,3276,KOTA DEPOK,750820,ORANG,2012
50,32,JAWA BARAT,3277,KOTA CIMAHI,225763,ORANG,2012
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,274314,ORANG,2012
52,32,JAWA BARAT,3279,KOTA BANJAR,76652,ORANG,2012
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,2131478,ORANG,2013
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,944618,ORANG,2013
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,880713,ORANG,2013
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1407503,ORANG,2013
57,32,JAWA BARAT,3205,KABUPATEN GARUT,922194,ORANG,2013
58,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,786927,ORANG,2013
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,723640,ORANG,2013
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,444359,ORANG,2013
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,763934,ORANG,2013
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,550134,ORANG,2013
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,483648,ORANG,2013
64,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,717696,ORANG,2013
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,656787,ORANG,2013
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,360398,ORANG,2013
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,888592,ORANG,2013
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,1268648,ORANG,2013
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,599870,ORANG,2013
70,32,JAWA BARAT,3271,KOTA BOGOR,403628,ORANG,2013
71,32,JAWA BARAT,3272,KOTA SUKABUMI,118252,ORANG,2013
72,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2013
73,32,JAWA BARAT,3274,KOTA CIREBON,129208,ORANG,2013
74,32,JAWA BARAT,3275,KOTA BEKASI,1063637,ORANG,2013
75,32,JAWA BARAT,3276,KOTA DEPOK,836688,ORANG,2013
76,32,JAWA BARAT,3277,KOTA CIMAHI,231379,ORANG,2013
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,289166,ORANG,2013
78,32,JAWA BARAT,3279,KOTA BANJAR,73424,ORANG,2013
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,2137954,ORANG,2014
80,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1004798,ORANG,2014
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,878215,ORANG,2014
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1490031,ORANG,2014
83,32,JAWA BARAT,3205,KABUPATEN GARUT,943727,ORANG,2014
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,787281,ORANG,2014
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,729286,ORANG,2014
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,434948,ORANG,2014
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,792245,ORANG,2014
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,600843,ORANG,2014
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,515735,ORANG,2014
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,705180,ORANG,2014
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,680739,ORANG,2014
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,375455,ORANG,2014
93,32,JAWA BARAT,3215,KABUPATEN KARAWANG,912864,ORANG,2014
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,1295522,ORANG,2014
95,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,585465,ORANG,2014
96,32,JAWA BARAT,3271,KOTA BOGOR,415162,ORANG,2014
97,32,JAWA BARAT,3272,KOTA SUKABUMI,122046,ORANG,2014
98,32,JAWA BARAT,3273,KOTA BANDUNG,1096799,ORANG,2014
99,32,JAWA BARAT,3274,KOTA CIREBON,130927,ORANG,2014
100,32,JAWA BARAT,3275,KOTA BEKASI,1120471,ORANG,2014
101,32,JAWA BARAT,3276,KOTA DEPOK,877684,ORANG,2014
102,32,JAWA BARAT,3277,KOTA CIMAHI,244278,ORANG,2014
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,274001,ORANG,2014
104,32,JAWA BARAT,3279,KOTA BANJAR,79287,ORANG,2014
105,32,JAWA BARAT,3201,KABUPATEN BOGOR,2083234,ORANG,2015
106,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,912272,ORANG,2015
107,32,JAWA BARAT,3203,KABUPATEN CIANJUR,863592,ORANG,2015
108,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1438365,ORANG,2015
109,32,JAWA BARAT,3205,KABUPATEN GARUT,945768,ORANG,2015
110,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,724664,ORANG,2015
111,32,JAWA BARAT,3207,KABUPATEN CIAMIS,494078,ORANG,2015
112,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,435712,ORANG,2015
113,32,JAWA BARAT,3209,KABUPATEN CIREBON,813824,ORANG,2015
114,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,580729,ORANG,2015
115,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,481029,ORANG,2015
116,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,677201,ORANG,2015
117,32,JAWA BARAT,3213,KABUPATEN SUBANG,633116,ORANG,2015
118,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,371543,ORANG,2015
119,32,JAWA BARAT,3215,KABUPATEN KARAWANG,873995,ORANG,2015
120,32,JAWA BARAT,3216,KABUPATEN BEKASI,1344821,ORANG,2015
121,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,563252,ORANG,2015
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,192391,ORANG,2015
123,32,JAWA BARAT,3271,KOTA BOGOR,400983,ORANG,2015
124,32,JAWA BARAT,3272,KOTA SUKABUMI,133746,ORANG,2015
125,32,JAWA BARAT,3273,KOTA BANDUNG,1084989,ORANG,2015
126,32,JAWA BARAT,3274,KOTA CIREBON,126821,ORANG,2015
127,32,JAWA BARAT,3275,KOTA BEKASI,1081936,ORANG,2015
128,32,JAWA BARAT,3276,KOTA DEPOK,896981,ORANG,2015
129,32,JAWA BARAT,3277,KOTA CIMAHI,257105,ORANG,2015
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,301406,ORANG,2015
131,32,JAWA BARAT,3279,KOTA BANJAR,77929,ORANG,2015
132,32,JAWA BARAT,3201,KABUPATEN BOGOR,2351753,ORANG,2017
133,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1037532,ORANG,2017
134,32,JAWA BARAT,3203,KABUPATEN CIANJUR,846258,ORANG,2017
135,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1584391,ORANG,2017
136,32,JAWA BARAT,3205,KABUPATEN GARUT,1044137,ORANG,2017
137,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,762133,ORANG,2017
138,32,JAWA BARAT,3207,KABUPATEN CIAMIS,602123,ORANG,2017
139,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,425700,ORANG,2017
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,880807,ORANG,2017
141,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,569252,ORANG,2017
142,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,505827,ORANG,2017
143,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,746020,ORANG,2017
144,32,JAWA BARAT,3213,KABUPATEN SUBANG,724308,ORANG,2017
145,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,392747,ORANG,2017
146,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1010828,ORANG,2017
147,32,JAWA BARAT,3216,KABUPATEN BEKASI,1399743,ORANG,2017
148,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,671847,ORANG,2017
149,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,235561,ORANG,2017
150,32,JAWA BARAT,3271,KOTA BOGOR,448386,ORANG,2017
151,32,JAWA BARAT,3272,KOTA SUKABUMI,130909,ORANG,2017
152,32,JAWA BARAT,3273,KOTA BANDUNG,1116529,ORANG,2017
153,32,JAWA BARAT,3274,KOTA CIREBON,142246,ORANG,2017
154,32,JAWA BARAT,3275,KOTA BEKASI,1266692,ORANG,2017
155,32,JAWA BARAT,3276,KOTA DEPOK,1009401,ORANG,2017
156,32,JAWA BARAT,3277,KOTA CIMAHI,272017,ORANG,2017
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,290396,ORANG,2017
158,32,JAWA BARAT,3279,KOTA BANJAR,84032,ORANG,2017
159,32,JAWA BARAT,3201,KABUPATEN BOGOR,2356875,ORANG,2018
160,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1027606,ORANG,2018
161,32,JAWA BARAT,3203,KABUPATEN CIANJUR,881180,ORANG,2018
162,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1575661,ORANG,2018
163,32,JAWA BARAT,3205,KABUPATEN GARUT,1018544,ORANG,2018
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,774131,ORANG,2018
165,32,JAWA BARAT,3207,KABUPATEN CIAMIS,583910,ORANG,2018
166,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,432549,ORANG,2018
167,32,JAWA BARAT,3209,KABUPATEN CIREBON,890762,ORANG,2018
168,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,572120,ORANG,2018
169,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,507378,ORANG,2018
170,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,776017,ORANG,2018
171,32,JAWA BARAT,3213,KABUPATEN SUBANG,711978,ORANG,2018
172,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,395512,ORANG,2018
173,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1026586,ORANG,2018
174,32,JAWA BARAT,3216,KABUPATEN BEKASI,1472432,ORANG,2018
175,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,683877,ORANG,2018
176,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,231582,ORANG,2018
177,32,JAWA BARAT,3271,KOTA BOGOR,471775,ORANG,2018
178,32,JAWA BARAT,3272,KOTA SUKABUMI,132848,ORANG,2018
179,32,JAWA BARAT,3273,KOTA BANDUNG,1107986,ORANG,2018
180,32,JAWA BARAT,3274,KOTA CIREBON,148033,ORANG,2018
181,32,JAWA BARAT,3275,KOTA BEKASI,1325953,ORANG,2018
182,32,JAWA BARAT,3276,KOTA DEPOK,1028292,ORANG,2018
183,32,JAWA BARAT,3277,KOTA CIMAHI,273955,ORANG,2018
184,32,JAWA BARAT,3278,KOTA TASIKMALAYA,287233,ORANG,2018
185,32,JAWA BARAT,3279,KOTA BANJAR,85113,ORANG,2018
186,32,JAWA BARAT,3201,KABUPATEN BOGOR,2538637,ORANG,2019
187,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1031213,ORANG,2019
188,32,JAWA BARAT,3203,KABUPATEN CIANJUR,976058,ORANG,2019
189,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1688206,ORANG,2019
190,32,JAWA BARAT,3205,KABUPATEN GARUT,1071026,ORANG,2019
191,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,813411,ORANG,2019
192,32,JAWA BARAT,3207,KABUPATEN CIAMIS,593039,ORANG,2019
193,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,453781,ORANG,2019
194,32,JAWA BARAT,3209,KABUPATEN CIREBON,955506,ORANG,2019
195,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,600450,ORANG,2019
196,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,526229,ORANG,2019
197,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,818449,ORANG,2019
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,762065,ORANG,2019
199,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,406779,ORANG,2019
200,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1013472,ORANG,2019
201,32,JAWA BARAT,3216,KABUPATEN BEKASI,1619175,ORANG,2019
202,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,704266,ORANG,2019
203,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,223517,ORANG,2019
204,32,JAWA BARAT,3271,KOTA BOGOR,486867,ORANG,2019
205,32,JAWA BARAT,3272,KOTA SUKABUMI,140827,ORANG,2019
206,32,JAWA BARAT,3273,KOTA BANDUNG,1183193,ORANG,2019
207,32,JAWA BARAT,3274,KOTA CIREBON,138667,ORANG,2019
208,32,JAWA BARAT,3275,KOTA BEKASI,1383287,ORANG,2019
209,32,JAWA BARAT,3276,KOTA DEPOK,1112358,ORANG,2019
210,32,JAWA BARAT,3277,KOTA CIMAHI,272553,ORANG,2019
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,301081,ORANG,2019
212,32,JAWA BARAT,3279,KOTA BANJAR,88846,ORANG,2019
213,32,JAWA BARAT,3201,KABUPATEN BOGOR,2342939,ORANG,2020
214,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1036735,ORANG,2020
215,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1054579,ORANG,2020
216,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1569974,ORANG,2020
217,32,JAWA BARAT,3205,KABUPATEN GARUT,1052573,ORANG,2020
218,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,877416,ORANG,2020
219,32,JAWA BARAT,3207,KABUPATEN CIAMIS,640767,ORANG,2020
220,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,463164,ORANG,2020
221,32,JAWA BARAT,3209,KABUPATEN CIREBON,938217,ORANG,2020
222,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,625576,ORANG,2020
223,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,574606,ORANG,2020
224,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,854045,ORANG,2020
225,32,JAWA BARAT,3213,KABUPATEN SUBANG,746284,ORANG,2020
226,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,384543,ORANG,2020
227,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1028735,ORANG,2020
228,32,JAWA BARAT,3216,KABUPATEN BEKASI,1628231,ORANG,2020
229,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,656087,ORANG,2020
230,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,233143,ORANG,2020
231,32,JAWA BARAT,3271,KOTA BOGOR,449120,ORANG,2020
232,32,JAWA BARAT,3272,KOTA SUKABUMI,122662,ORANG,2020
233,32,JAWA BARAT,3273,KOTA BANDUNG,1167849,ORANG,2020
234,32,JAWA BARAT,3274,KOTA CIREBON,139334,ORANG,2020
235,32,JAWA BARAT,3275,KOTA BEKASI,1348530,ORANG,2020
236,32,JAWA BARAT,3276,KOTA DEPOK,1077600,ORANG,2020
237,32,JAWA BARAT,3277,KOTA CIMAHI,254699,ORANG,2020
238,32,JAWA BARAT,3278,KOTA TASIKMALAYA,315844,ORANG,2020
239,32,JAWA BARAT,3279,KOTA BANJAR,91602,ORANG,2020
240,32,JAWA BARAT,3201,KABUPATEN BOGOR,2445768,ORANG,2021
241,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1105875,ORANG,2021
242,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1066323,ORANG,2021
243,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1673019,ORANG,2021
244,32,JAWA BARAT,3205,KABUPATEN GARUT,1096134,ORANG,2021
245,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,878438,ORANG,2021
246,32,JAWA BARAT,3207,KABUPATEN CIAMIS,637102,ORANG,2021
247,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,479405,ORANG,2021
248,32,JAWA BARAT,3209,KABUPATEN CIREBON,970262,ORANG,2021
249,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,614417,ORANG,2021
250,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,581097,ORANG,2021
251,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,875280,ORANG,2021
252,32,JAWA BARAT,3213,KABUPATEN SUBANG,763589,ORANG,2021
253,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,391444,ORANG,2021
254,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1023790,ORANG,2021
255,32,JAWA BARAT,3216,KABUPATEN BEKASI,1756261,ORANG,2021
256,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,676733,ORANG,2021
257,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,233703,ORANG,2021
258,32,JAWA BARAT,3271,KOTA BOGOR,466645,ORANG,2021
259,32,JAWA BARAT,3272,KOTA SUKABUMI,128395,ORANG,2021
260,32,JAWA BARAT,3273,KOTA BANDUNG,1185623,ORANG,2021
261,32,JAWA BARAT,3274,KOTA CIREBON,139397,ORANG,2021
262,32,JAWA BARAT,3275,KOTA BEKASI,1376447,ORANG,2021
263,32,JAWA BARAT,3276,KOTA DEPOK,1089295,ORANG,2021
264,32,JAWA BARAT,3277,KOTA CIMAHI,254059,ORANG,2021
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,316349,ORANG,2021
266,32,JAWA BARAT,3279,KOTA BANJAR,88631,ORANG,2021
267,32,JAWA BARAT,3201,KABUPATEN BOGOR,2589167,ORANG,2022
268,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1211763,ORANG,2022
269,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1119786,ORANG,2022
270,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1682510,ORANG,2022
271,32,JAWA BARAT,3205,KABUPATEN GARUT,1229218,ORANG,2022
272,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,901466,ORANG,2022
273,32,JAWA BARAT,3207,KABUPATEN CIAMIS,639600,ORANG,2022
274,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,478750,ORANG,2022
275,32,JAWA BARAT,3209,KABUPATEN CIREBON,1020411,ORANG,2022
276,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,617320,ORANG,2022
277,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,562416,ORANG,2022
278,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,890992,ORANG,2022
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,800701,ORANG,2022
280,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,430788,ORANG,2022
281,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1077939,ORANG,2022
282,32,JAWA BARAT,3216,KABUPATEN BEKASI,1799668,ORANG,2022
283,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,740639,ORANG,2022
284,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,256684,ORANG,2022
285,32,JAWA BARAT,3271,KOTA BOGOR,496570,ORANG,2022
286,32,JAWA BARAT,3272,KOTA SUKABUMI,145522,ORANG,2022
287,32,JAWA BARAT,3273,KOTA BANDUNG,1298537,ORANG,2022
288,32,JAWA BARAT,3274,KOTA CIREBON,149860,ORANG,2022
289,32,JAWA BARAT,3275,KOTA BEKASI,1452223,ORANG,2022
290,32,JAWA BARAT,3276,KOTA DEPOK,1160313,ORANG,2022
291,32,JAWA BARAT,3277,KOTA CIMAHI,286038,ORANG,2022
292,32,JAWA BARAT,3278,KOTA TASIKMALAYA,324099,ORANG,2022
293,32,JAWA BARAT,3279,KOTA BANJAR,89588,ORANG,2022
